HOMELON,HOMELAT,HOME_FED,TOTAL_PLAYERS
-123.11,49.27,CONCACAF,1
-122.68,45.52,CONCACAF,2
-122.33,47.59,CONCACAF,2
-121.92,37.35,CONCACAF,2
-118.28,34.01,CONCACAF,3
-118.26,33.86,CONCACAF,2
-103.32,20.7,CONCACAF,1
-101.65,21.11,CONCACAF,1
-101.23,19.71,CONCACAF,1
-100.31,25.72,CONCACAF,3
-100.24,25.66,CONCACAF,3
-99.66,19.28,CONCACAF,1
-99.15,19.3,CONCACAF,4
-98.75,20.1,CONCACAF,3
-98.19,18.99,CONCACAF,1
-98.16,19.07,CONCACAF,1
-96.12,19.16,CONCACAF,4
-95.35,29.75,CONCACAF,1
-93.22,44.97,CONCACAF,1
-92.29,14.86,CONCACAF,1
-87.21,14.1,CONCACAF,2
-87.2,14.09,CONCACAF,1
-84.2,10.02,CONCACAF,3
-84.12,9.99,CONCACAF,2
-84.07,9.96,CONCACAF,3
-81.38,28.54,CONCACAF,1
-79.77,8.88,CONCACAF,1
-79.54,8.94,CONCACAF,1
-78.51,-7.16,CONMEBOL,1
-77.11,-12.05,CONMEBOL,1
-77.02,-12.06,CONMEBOL,1
-76.93,-12.05,CONMEBOL,1
-76.41,3.52,CONMEBOL,2
-75.48,5.056,CONMEBOL,1
-75.37,6.14,CONMEBOL,1
-74.8,10.92,CONMEBOL,1
-74.15,40.73,CONCACAF,2
-73.92,40.82,CONCACAF,1
-73.11,7.13,CONMEBOL,1
-73.1,-36.75,CONMEBOL,1
-71.52,-16.4,CONMEBOL,1
-70.61,-33.46,CONMEBOL,1
-58.44,-34.54,CONMEBOL,3
-58.37,-34.67,CONMEBOL,3
-58.36,-34.63,CONMEBOL,3
-57.6,-25.29,CONMEBOL,1
-56.06,-34.79,CONMEBOL,2
-52.33,-31.77,CONMEBOL,1
-46.72,-23.6,CONMEBOL,1
-46.67,-23.52,CONMEBOL,1
-46.47,-23.54,CONMEBOL,2
-43.97,-19.86,CONMEBOL,1
-43.23,-22.91,CONMEBOL,1
-43.22,-22.89,CONMEBOL,1
-43.2,-22.8,CONMEBOL,2
-21.92,64.13,UEFA,1
-21.84,64.11,UEFA,1
-21.79,64.11,UEFA,1
-16.92,32.64,UEFA,1
-13.67,9.54,CAF,1
-9.18,38.75,UEFA,6
-9.16,38.76,UEFA,3
-8.73,42.21,UEFA,3
-8.58,41.16,UEFA,3
-8.41,43.36,UEFA,4
-8.3,41.44,UEFA,1
-8.28,43.25,UEFA,1
-5.98,37.35,UEFA,3
-5.97,37.38,UEFA,6
-5.85,35.74,CAF,1
-4.42,36.73,UEFA,1
-4.3,55.85,UEFA,1
-4.2,55.84,UEFA,4
-3.93,51.64,UEFA,2
-3.71,40.32,UEFA,2
-3.68,40.45,UEFA,15
-3.59,40.43,UEFA,10
-3.2,51.47,UEFA,1
-3.16,48.56,AFC,1
-2.96,53.43,UEFA,11
-2.95,43.26,UEFA,1
-2.68,42.83,UEFA,1
-2.65,53.54,UEFA,1
-2.61,51.44,UEFA,1
-2.47,43.18,UEFA,1
-2.46,41.75,UEFA,1
-2.32,34.92,CAF,1
-2.29,53.46,UEFA,12
-2.23,53.78,UEFA,2
-2.2,53.48,UEFA,16
-2.17,52.98,UEFA,5
-2.13,52.59,UEFA,4
-1.97,43.3,UEFA,3
-1.96,52.5,UEFA,3
-1.88,52.5,UEFA,3
-1.86,52.47,UEFA,1
-1.76,53.65,UEFA,4
-1.71,48.1,UEFA,3
-1.62,54.97,UEFA,1
-1.57,53.77,UEFA,1
-1.52,47.25,UEFA,1
-1.39,50.9,UEFA,4
-1.38,54.91,UEFA,2
-1.21,54.57,UEFA,1
-1.14,52.62,UEFA,10
-1.13,52.94,UEFA,1
-0.98,51.42,UEFA,1
-0.56,44.89,UEFA,2
-0.4,51.64,UEFA,1
-0.39,49.17,UEFA,2
-0.36,39.49,UEFA,1
-0.36,53.74,UEFA,3
-0.35,39.47,UEFA,2
-0.3,51.48,UEFA,1
-0.27,51.55,UEFA,12
-0.23,51.5,UEFA,1
-0.19,51.28,UEFA,14
-0.1,39.94,UEFA,3
-0.1,51.555,UEFA,8
-0.08,50.86,UEFA,3
-0.08,51.39,UEFA,1
-0.05,51.48,UEFA,1
-0.01,51.53,UEFA,4
1.14,52.05,UEFA,2
1.43,43.58,UEFA,3
1.72,46.8,UEFA,1
2.07,41.34,UEFA,1
2.12,41.38,UEFA,14
2.25,48.84,UEFA,13
2.26,49.89,UEFA,1
2.82,41.96,UEFA,3
2.88,51.21,UEFA,1
3.13,50.61,UEFA,1
3.18,51.19,UEFA,2
3.73,51.01,UEFA,4
3.81,43.62,UEFA,1
3.98,51.11,UEFA,1
4.09,48.3,UEFA,1
4.24,51.21,UEFA,1
4.29,50.83,UEFA,3
4.52,51.89,UEFA,5
4.74,52.61,UEFA,1
4.83,45.72,UEFA,2
4.94,52.31,UEFA,4
5.06,47.32,UEFA,3
5.39,43.26,UEFA,4
5.46,51.44,UEFA,3
5.53,51,UEFA,1
5.54,50.6,UEFA,2
5.93,52.95,UEFA,1
6.04,50.62,UEFA,1
6.15,49.1,UEFA,1
6.38,51.17,UEFA,7
6.62,46.53,UEFA,1
6.73,51.26,UEFA,1
6.87,50.93,UEFA,1
7,51.03,UEFA,2
7.06,51.55,UEFA,4
7.19,43.7,UEFA,1
7.23,51.48,UEFA,1
7.37,5.1,CAF,1
7.41,43.72,UEFA,7
7.45,51.49,UEFA,7
7.62,47.54,UEFA,1
7.64,45.1,UEFA,11
7.65,45.04,UEFA,4
8.22,49.98,UEFA,1
8.3,47.03,UEFA,1
8.5,47.38,UEFA,1
8.64,49.33,UEFA,1
8.64,50.06,UEFA,6
8.67,49.85,UEFA,1
8.83,53.06,UEFA,3
8.86,49.23,UEFA,2
8.95,44.41,UEFA,6
9.12,45.47,UEFA,4
9.124,45.47,UEFA,5
9.23,48.79,UEFA,2
9.68,45.7,UEFA,2
9.73,52.36,UEFA,1
9.89,53.58,UEFA,3
9.89,57.05,UEFA,1
9.96,53.55,UEFA,1
10.01,56.46,UEFA,1
10.27,36.74,CAF,4
10.61,35.82,CAF,1
10.74,34.73,CAF,1
10.8,52.43,UEFA,2
10.8,59.91,UEFA,1
10.88,48.32,UEFA,2
10.96,45.43,UEFA,1
11.28,43.78,UEFA,3
11.3,44.49,UEFA,4
11.6,44.83,UEFA,2
11.62,48.21,UEFA,11
12.07,55.63,UEFA,1
12.34,51.34,UEFA,4
12.41,55.64,UEFA,1
12.45,41.93,UEFA,5
12.57,55.7,UEFA,3
12.98,55.58,UEFA,1
12.99,47.81,UEFA,2
13.2,46.08,UEFA,3
13.23,52.51,UEFA,2
14.19,40.82,UEFA,6
14.4,45.34,UEFA,1
14.65,63.19,UEFA,1
16.01,45.81,UEFA,2
16.17,58.58,UEFA,1
17.11,39.07,UEFA,2
17.61,47.99,UEFA,1
18.64,54.39,UEFA,1
18.76,50.29,UEFA,1
20.45,44.78,UEFA,1
20.46,44.78,UEFA,2
21.04,52.22,UEFA,2
22.97,40.61,UEFA,2
23.36,42.7,UEFA,1
23.66,37.94,UEFA,2
23.78,38.03,UEFA,1
25.59,-33.93,CAF,1
26.1,44.45,UEFA,1
26.52,43.53,UEFA,1
27.26,38.44,UEFA,1
28.8,41.12,UEFA,1
28.97,41.03,UEFA,2
28.99,41.03,UEFA,3
28.99,41.1,UEFA,3
29,40.21,UEFA,4
29.03,40.98,UEFA,1
30.22,59.97,UEFA,6
30.52,50.43,UEFA,1
30.66,36.88,UEFA,1
31.31,30.06,CAF,10
32.07,36.56,UEFA,1
34.77,31.27,UEFA,1
34.86,32.29,UEFA,1
37.44,55.81,UEFA,3
37.51,55.47,UEFA,5
37.6,54.17,UEFA,1
37.74,55.8,UEFA,6
37.78,47.99,UEFA,1
38.44,38.33,UEFA,1
39.02,45.04,AFC,5
39.16,21.76,AFC,12
39.64,40.99,UEFA,1
39.73,47.2,UEFA,3
43.94,26.37,AFC,2
45.74,43.32,UEFA,2
45.96,28.43,AFC,1
46.83,24.78,AFC,17
49.16,55.82,UEFA,3
49.61,25.3,AFC,1
50.11,26.42,AFC,1
51.27,35.72,AFC,6
51.31,35.7,AFC,1
51.42,32.48,AFC,1
51.44,25.34,AFC,1
51.48,25.26,AFC,1
54.39,24.45,AFC,1
55.71,24.24,AFC,1
56.24,57.99,UEFA,2
59.38,36.42,AFC,1
113.26,23.13,AFC,1
113.31,23.14,AFC,1
116.44,39.92,AFC,1
116.72,39.55,AFC,1
117.18,38.88,AFC,1
117.35,39,AFC,1
121.56,39.02,AFC,2
125.33,43.86,AFC,1
126.5,33.24,AFC,1
126.64,37.46,AFC,1
126.89,37.56,AFC,1
127.02,36.76,AFC,1
127.03,37.28,AFC,1
127.06,35.86,AFC,3
127.12,37.41,AFC,1
128.16,36.43,AFC,2
128.69,35.82,AFC,1
129.25,35.53,AFC,1
130.52,33.37,AFC,1
135.16,34.65,AFC,2
135.51,34.61,AFC,2
135.54,34.81,AFC,1
139.52,35.66,AFC,1
139.6,35.51,AFC,1
139.65,35.58,AFC,1
139.71,35.9,AFC,3
139.97,35.84,AFC,1
140.64,35.99,AFC,2
144.98,-37.82,AFC,1
151.06,-33.84,AFC,1
151.72,-32.91,AFC,1
