COUNTRY_NATION_TEAM,PLAYER_NUMBER,PLAYER_POSITION,PLAYER_FNAME,PLAYER_LNAME,PLAYER_BIRTH_DAY,PLAYER_BIRTH_MONTH,PLAYER_BIRTH_YEAR,PLAYER_AGE,PLAYER_CAPS,PLAYER_GOALS,PLAYER_CLUB_COUNTRY,PLAYER_CLUB
PAN,18,FW,Luis,Tejada,28,3,1982,36,106,43,PER,Sport Boys  
PER,21,GK,José,Carvallo,1,3,1986,32,6,0,PER,UTC   
RUS,5,DF,Andrei,Semyonov,24,3,1989,29,6,0,RUS,Akhmat Grozny  
EGY,18,MF,Shikabala,,5,3,1986,32,32,2,KSA, Al Raed 
KSA,3,DF,Osama,Hawsawi,31,3,1984,34,131,7,KSA, Al-Hilal  
KSA,11,MF,Abdulmalek,Al-Khaibri,13,3,1986,32,34,0,KSA, Al-Hilal  
TUN,13,MF,Ferjani,Sassi,18,3,1992,26,42,4,KSA, Al-Nassr  
PAN,15,DF,Erick,Davis,31,3,1991,27,40,0,SLO,Dunajská Streda  
KOR,22,DF,Go,Yo-han,10,3,1988,30,20,0,KOR, FC Seoul 
FRA,7,FW,Antoine,Griezmann,21,3,1991,27,56,21,ESP,Atlético Madrid  
CRO,7,MF,Ivan,Rakitić,10,3,1988,30,94,15,ESP,Barcelona   
ESP,18,DF,Jordi,Alba,21,3,1989,29,65,8,ESP,Barcelona   
ESP,15,DF,Sergio,Ramos,30,3,1986,32,155,13,ESP,Real Madrid  
ARG,2,DF,Gabriel,Mercado,18,3,1987,31,21,3,ESP,Sevilla   
DEN,4,DF,Simon,Kjær,26,3,1989,29,80,3,ESP,Sevilla   
ESP,9,FW,Rodrigo,,6,3,1991,27,8,2,ESP,Valencia   
CRC,4,DF,Ian,Smith,6,3,1998,20,4,0,SWE,Norrköping   
CRC,17,MF,Yeltsin,Tejeda,17,3,1992,26,50,0,SUI,Lausanne-Sport   
NGA,12,DF,Shehu,Abdullahi,12,3,1993,25,16,0,TUR,Bursaspor   
TUN,2,DF,Syam,Ben Youssef,31,3,1989,29,44,1,TUR,Kasımpaşa   
CRC,21,FW,Marco,Ureña,5,3,1990,28,65,15,USA,Los Angeles  
MEX,11,FW,Carlos,Vela,1,3,1989,29,70,19,USA,Los Angeles  
PAN,3,DF,Harold,Cummings,1,3,1992,26,52,0,USA,San Jose Earthquakes 
PAN,5,DF,Román,Torres,20,3,1986,32,113,10,USA,Seattle Sounders  
URU,4,DF,Guillermo,Varela,24,3,1993,25,5,0,URU,Peñarol   
URU,12,GK,Martín,Campaña,29,5,1989,29,1,0,ARG,Independiente   
ISL,23,DF,Ari,Freyr Skúlason,14,5,1987,31,58,0,BEL,Lokeren   
PAN,6,MF,Gabriel,Gómez,29,5,1984,34,146,12,COL,Atlético Bucaramanga  
CRC,18,GK,Patrick,Pemberton,24,5,1982,36,38,0,CRC, Alajuelense  
CRC,7,MF,Christian,Bolaños,17,5,1984,34,84,7,CRC, Saprissa  
PER,20,MF,Edison,Flores,15,5,1994,24,31,9,DEN,AaB   
NGA,18,FW,Alex,Iwobi,3,5,1996,22,20,5,ENG,Arsenal   
ISL,8,MF,Birkir,Bjarnason,27,5,1988,30,69,9,ENG,Aston Villa  
BEL,1,GK,Thibaut,Courtois,11,5,1992,26,60,0,ENG,Chelsea   
BRA,17,MF,Fernandinho,,4,5,1985,33,46,2,ENG,Manchester City  
ENG,2,DF,Kyle,Walker,28,5,1990,28,37,0,ENG,Manchester City  
ENG,5,DF,John,Stones,28,5,1994,24,28,2,ENG,Manchester City  
BEL,9,FW,Romelu,Lukaku,13,5,1993,25,71,40,ENG,Manchester United  
ISL,22,FW,Jón,Daði Böðvarsson,25,5,1992,26,39,2,ENG,Reading   
MEX,9,FW,Raúl,Jiménez,5,5,1991,27,64,13,ENG,Wolverhampton Wanderers  
BEL,17,MF,Youri,Tielemans,7,5,1997,21,10,0,FRA,Monaco   
TUN,17,MF,Ellyes,Skhiri,10,5,1995,23,7,0,FRA,Montpellier   
BRA,13,DF,Marquinhos,,14,5,1994,24,26,0,FRA,Paris Saint-Germain  
GER,3,DF,Jonas,Hector,27,5,1990,28,39,3,GER,1 FC Köln 
GER,20,MF,Julian,Brandt,2,5,1996,22,18,1,GER,Bayer Leverkusen  
GER,11,FW,Marco,Reus,31,5,1989,29,33,10,GER,Borussia Dortmund  
JPN,11,MF,Takashi,Usami,6,5,1992,26,25,3,GER,Fortuna Düsseldorf  
JPN,8,MF,Genki,Haraguchi,9,5,1991,27,35,6,GER,Hannover 96  
JPN,15,FW,Yūya,Ōsako,18,5,1990,28,31,8,GER,Werder Bremen  
IRN,13,DF,Mohammad,Reza Khanzadeh,11,5,1991,27,11,1,IRN,Padideh   
IRN,12,GK,Mohammad,Mazaheri,18,5,1989,29,3,0,IRN,Zob Ahan  
NGA,13,FW,Simeon,Nwankwo,7,5,1992,26,3,0,ITA,Crotone   
SWE,19,MF,Marcus,Rohdén,11,5,1991,27,12,1,ITA,Crotone   
COL,11,MF,Juan,Cuadrado,26,5,1988,30,72,8,ITA,Juventus   
CRO,20,FW,Marko,Pjaca,6,5,1995,23,17,1,ITA,Juventus   
CRO,17,FW,Mario,Mandžukić,21,5,1986,32,85,30,ITA,Juventus   
BEL,14,FW,Dries,Mertens,6,5,1987,31,71,15,ITA,Napoli   
POL,19,MF,Piotr,Zieliński,20,5,1994,24,35,5,ITA,Napoli   
POR,19,DF,Mário,Rui,27,5,1991,27,4,0,ITA,Napoli   
NGA,15,MF,Joel,Obi,22,5,1991,27,17,0,ITA,Torino   
JPN,12,GK,Masaaki,Higashiguchi,12,5,1986,32,5,0,JPN,Gamba Osaka  
JPN,20,DF,Tomoaki,Makino,11,5,1987,31,32,4,JPN,Urawa Red Diamonds 
DEN,19,MF,Lasse,Schöne,27,5,1986,32,38,3,NED,Ajax   
PAN,14,MF,Valentín,Pimentel,30,5,1991,27,23,1,PAN,Plaza Amador  
PER,3,DF,Aldo,Corzo,20,5,1989,29,24,0,PER,Universitario de Deportes 
POR,13,DF,Rúben,Dias,14,5,1997,21,1,0,POR,Benfica   
NGA,2,DF,Brian,Idowu,18,5,1992,26,7,1,RUS,Amkar Perm  
RUS,17,MF,Aleksandr,Golovin,30,5,1996,22,21,3,RUS,CSKA Moscow  
RUS,14,DF,Vladimir,Granat,22,5,1987,31,12,1,RUS,Rubin Kazan  
KSA,13,DF,Yasser,Al-Shahrani,25,5,1992,26,41,0,KSA, Al-Hilal  
KOR,4,DF,Oh,Ban-suk,20,5,1988,30,2,0,KOR, Jeju United 
ESP,6,MF,Andrés,Iniesta,11,5,1984,34,130,13,ESP,Barcelona   
FRA,11,FW,Ousmane,Dembélé,15,5,1997,21,14,2,ESP,Barcelona   
PAN,10,FW,Ismael,Díaz,12,5,1997,21,12,2,ESP,Deportivo Fabril  
CRC,5,MF,Celso,Borges,27,5,1988,30,113,17,ESP,Deportivo La Coruña 
JPN,7,MF,Gaku,Shibasaki,28,5,1992,26,20,3,ESP,Getafe   
MAR,12,GK,Munir,Mohamedi,10,5,1989,29,31,0,ESP,Numancia   
BRA,12,DF,Marcelo,,12,5,1988,30,56,6,ESP,Real Madrid  
CRO,8,MF,Mateo,Kovačić,6,5,1994,24,43,1,ESP,Real Madrid  
MAR,4,DF,Manuel,da Costa,6,5,1986,32,31,1,TUR,İstanbul Başakşehir  
POR,18,FW,Gelson,Martins,11,5,1995,23,19,0,UNA,
MEX,10,MF,Giovani,dos Santos,11,5,1989,29,106,19,USA, LA Galaxy 
SWE,5,DF,Martin,Olsson,17,5,1988,30,43,5,WAL,Swansea City  
AUS,21,MF,Dimitri,Petratos,10,11,1992,25,2,0,AUS,Newcastle Jets  
SEN,4,DF,Kara,Mbodji,11,11,1989,28,47,5,BEL,Anderlecht   
PER,8,MF,Christian,Cueva,23,11,1991,26,47,8,BRA,São Paulo  
PAN,11,MF,Armando,Cooper,26,11,1987,30,100,7,CHL,Universidad de Chile 
CRC,11,FW,Johan,Venegas,27,11,1988,29,49,10,CRC,Saprissa  
SUI,18,FW,Mario,Gavranović,24,11,1989,28,15,4,CRO,Dinamo Zagreb  
EGY,7,DF,Ahmed,Fathy,10,11,1984,33,131,3,EGY,Al Ahly  
ENG,14,FW,Danny,Welbeck,26,11,1990,27,39,16,ENG,Arsenal   
DEN,1,GK,Kasper,Schmeichel,5,11,1986,31,37,0,ENG,Leicester City  
ENG,17,DF,Fabian,Delph,21,11,1989,28,12,0,ENG,Manchester City  
BEL,8,MF,Marouane,Fellaini,22,11,1987,30,83,17,ENG,Manchester United  
ESP,1,GK,David,de Gea,7,11,1990,27,32,0,ENG,Manchester United  
SRB,10,MF,Dušan,Tadić,20,11,1988,29,55,13,ENG,Southampton   
NGA,8,MF,Oghenekaro,Etebo,9,11,1995,22,14,1,ENG,Stoke City  
CRO,13,DF,Tin,Jedvaj,28,11,1995,22,12,0,GER,Bayer Leverkusen  
SUI,21,GK,Roman,Bürki,14,11,1990,27,9,0,GER,Borussia Dortmund  
SUI,17,MF,Denis,Zakaria,20,11,1996,21,11,0,GER,Borussia Mönchengladbach  
SRB,17,MF,Filip,Kostić,1,11,1992,25,25,2,GER,Hamburger SV  
SEN,16,GK,Khadim,N'Diaye,30,11,1984,33,28,0,GUI,Horoya   
ISL,2,DF,Birkir,Már Sævarsson,11,11,1984,33,81,1,ISL,Valur   
CRO,11,MF,Marcelo,Brozović,16,11,1992,25,37,6,ITA,Internazionale   
ARG,21,FW,Paulo,Dybala,15,11,1993,24,13,0,ITA,Juventus   
POR,9,FW,André,Silva,6,11,1995,22,25,12,ITA,Milan   
SRB,11,DF,Aleksandar,Kolarov,10,11,1985,32,78,11,ITA,Roma   
PER,15,DF,Christian,Ramos,4,11,1988,29,72,3,MEX,Veracruz   
POL,3,DF,Artur,Jędrzejczyk,4,11,1987,30,36,3,POL,Legia Warsaw  
RUS,12,GK,Andrey,Lunyov,13,11,1991,26,3,0,RUS,Zenit Saint Petersburg 
KSA,4,DF,Ali,Al-Bulaihi,21,11,1989,28,5,0,KSA, Al-Hilal  
BEL,20,DF,Dedryck,Boyata,28,11,1990,27,9,0,SCO,Celtic   
POR,2,DF,Bruno,Alves,27,11,1981,36,96,11,SCO,Rangers   
ESP,7,MF,Saúl,,21,11,1994,23,10,0,ESP,Atlético Madrid  
FRA,8,MF,Thomas,Lemar,12,11,1995,22,12,3,ESP,Atlético Madrid  
BEL,3,DF,Thomas,Vermaelen,14,11,1985,32,66,1,ESP,Barcelona   
FRA,5,DF,Samuel,Umtiti,14,11,1993,24,21,2,ESP,Barcelona   
MAR,2,DF,Achraf,Hakimi,4,11,1998,19,13,1,ESP,Real Madrid  
POR,17,FW,Gonçalo,Guedes,29,11,1996,21,13,3,ESP,Valencia   
COL,5,MF,Wílmar,Barrios,16,10,1993,24,12,0,ARG,Boca Juniors  
ARG,12,GK,Franco,Armani,16,10,1986,31,0,0,ARG,River Plate  
RUS,20,GK,Vladimir,Gabulov,19,10,1983,34,10,0,BEL,Club Brugge  
SEN,22,DF,Moussa,Wagué,4,10,1998,19,12,1,BEL,Eupen   
PAN,9,FW,Gabriel,Torres,31,10,1988,29,73,14,CHL,Huachipato   
EGY,8,MF,Tarek,Hamed,24,10,1988,29,27,0,EGY,Zamalek   
TUN,21,DF,Hamdi,Nagguez,28,10,1992,25,17,0,EGY,Zamalek   
GER,10,MF,Mesut,Özil,15,10,1988,29,91,23,ENG,Arsenal   
ISL,7,MF,Jóhann,Berg Guðmundsson,27,10,1990,27,68,7,ENG,Burnley   
BEL,21,FW,Michy,Batshuayi,2,10,1993,24,17,8,ENG,Chelsea   
NGA,22,DF,Kenneth,Omeruo,17,10,1993,24,39,0,ENG,Chelsea   
NGA,14,FW,Kelechi,Iheanacho,3,10,1996,21,19,8,ENG,Leicester City  
NGA,7,FW,Ahmed,Musa,14,10,1992,25,72,15,ENG,Leicester City  
POR,15,DF,Ricardo,Pereira,6,10,1993,24,4,0,ENG,Leicester City  
BRA,20,FW,Roberto,Firmino,2,10,1991,26,23,6,ENG,Liverpool   
ENG,22,DF,Trent,Alexander-Arnold,7,10,1998,19,1,0,ENG,Liverpool   
GER,21,MF,İlkay,Gündoğan,24,10,1990,27,27,4,ENG,Manchester City  
ENG,19,FW,Marcus,Rashford,31,10,1997,20,20,3,ENG,Manchester United  
SEN,17,MF,Badou,Ndiaye,27,10,1990,27,19,1,ENG,Stoke City  
SUI,23,MF,Xherdan,Shaqiri,10,10,1991,26,72,21,ENG,Stoke City  
MAR,3,DF,Hamza,Mendyl,21,10,1997,20,13,0,FRA,Lille   
POR,12,GK,Anthony,Lopes,1,10,1990,27,7,0,FRA,Lyon   
CRO,23,GK,Danijel,Subašić,27,10,1984,33,40,0,FRA,Monaco   
SWE,10,MF,Emil,Forsberg,23,10,1991,26,38,6,GER,RB Leipzig  
AUS,10,FW,Robbie,Kruse,5,10,1988,29,66,5,GER,VfL Bochum  
ISL,14,DF,Kári,Árnason,13,10,1982,35,69,5,ISL,Víkingur   
SRB,12,GK,Predrag,Rajković,31,10,1995,22,8,0,ISR,Maccabi Tel Aviv 
SRB,15,DF,Nikola,Milenković,12,10,1997,20,5,0,ITA,Fiorentina   
BRA,1,GK,Alisson,,2,10,1992,25,28,0,ITA,Roma   
JPN,16,MF,Hotaru,Yamaguchi,6,10,1990,27,43,2,JPN,Cerezo Osaka  
JPN,2,DF,Naomichi,Ueda,24,10,1994,23,4,0,JPN,Kashima Antlers  
MEX,21,DF,Edson,Álvarez,24,10,1997,20,14,1,MEX,América   
PAN,8,MF,Édgar,Bárcenas,23,10,1993,24,31,0,MEX,Tapachula   
DEN,12,FW,Kasper,Dolberg,6,10,1997,20,6,1,NED,Ajax   
NGA,1,GK,Ikechukwu,Ezenwa,16,10,1988,29,24,0,NGA,Enyimba   
PER,5,DF,Miguel,Araujo,24,10,1994,23,8,0,PER,Alianza Lima  
PER,22,DF,Nilson,Loyola,26,10,1994,23,3,0,PER,Melgar   
ARG,8,DF,Marcos,Acuña,28,10,1991,26,11,0,POR,Sporting CP  
URU,19,DF,Sebastián,Coates,7,10,1990,27,31,1,POR,Sporting CP  
IRN,6,MF,Saeid,Ezatolahi,1,10,1996,21,27,1,RUS,Amkar Perm  
PER,10,FW,Jefferson,Farfán,26,10,1984,33,86,25,RUS,Lokomotiv Moscow  
RUS,15,FW,Aleksei,Miranchuk,17,10,1995,22,19,4,RUS,Lokomotiv Moscow  
RUS,16,MF,Anton,Miranchuk,17,10,1995,22,6,0,RUS,Lokomotiv Moscow  
RUS,21,MF,Aleksandr,Yerokhin,13,10,1989,28,17,0,RUS,Zenit Saint Petersburg 
KSA,20,FW,Muhannad,Assiri,14,10,1986,31,18,4,KSA, Al-Ahli  
KSA,22,GK,Mohammed,Al-Owais,10,10,1991,26,9,0,KSA, Al-Ahli  
KSA,2,DF,Mansoor,Al-Harbi,19,10,1987,30,41,1,KSA, Al-Ahli  
CRC,16,DF,Cristian,Gamboa,24,10,1989,28,69,3,SCO,Celtic   
KOR,5,DF,Yun,Young-sun,4,10,1988,29,6,0,KOR, Seongnam FC 
KOR,8,MF,Ju,Se-jong,30,10,1990,27,12,1,KOR,Asan Mugunghwa 
ESP,13,GK,Kepa,Arrizabalaga,3,10,1994,23,1,0,ESP,Athletic Bilbao  
ESP,19,FW,Diego,Costa,7,10,1988,29,23,10,ESP,Atlético Madrid  
NGA,23,GK,Francis,Uzoho,28,10,1998,19,8,0,ESP,Deportivo La Coruña 
URU,11,FW,Cristhian,Stuani,12,10,1986,31,41,5,ESP,Girona   
COL,16,MF,Jefferson,Lerma,25,10,1994,23,7,0,ESP,Levante   
TUN,19,FW,Saber,Khalifa,14,10,1986,31,45,7,TUN,Club Africain  
SEN,21,DF,Lamine,Gassama,20,10,1989,28,39,0,TUR,Alanyaspor   
AUS,16,DF,Aziz,Behich,16,10,1990,27,25,2,TUR,Bursaspor   
EGY,21,MF,Trézéguet,,1,10,1994,23,29,2,TUR,Kasımpaşa   
CRO,15,DF,Duje,Ćaleta-Car,17,9,1996,21,1,0,AUT,Red Bull Salzburg 
BRA,4,DF,Pedro,Geromel,21,9,1985,32,2,0,BRA,Grêmio   
POL,6,MF,Jacek,Góralski,21,9,1992,25,6,0,BUL,Ludogorets Razgrad  
BEL,11,MF,Yannick,Carrasco,4,9,1993,24,28,5,CHI,Dalian Yifang  
SUI,10,MF,Granit,Xhaka,27,9,1992,25,64,10,ENG,Arsenal   
EGY,3,DF,Ahmed,Elmohamady,9,9,1987,30,83,2,ENG,Aston Villa  
ARG,23,GK,Willy,Caballero,28,9,1981,36,5,0,ENG,Chelsea   
FRA,9,FW,Olivier,Giroud,30,9,1986,31,76,31,ENG,Chelsea   
ISL,10,MF,Gylfi,Sigurðsson,8,9,1989,28,59,19,ENG,Everton   
SEN,5,MF,Idrissa,Gueye,26,9,1989,28,59,1,ENG,Everton   
AUS,13,MF,Aaron,Mooy,15,9,1990,27,36,5,ENG,Huddersfield Town  
DEN,5,DF,Jonas,Knudsen,16,9,1992,25,3,0,ENG,Ipswich Town  
SRB,9,FW,Aleksandar,Mitrović,16,9,1994,23,39,17,ENG,Newcastle United  
AUS,8,MF,Massimo,Luongo,25,9,1992,25,35,5,ENG,Queens Park Rangers 
ENG,12,DF,Kieran,Trippier,19,9,1990,27,9,0,ENG,Tottenham Hotspur  
EGY,5,MF,Sam,Morsy,10,9,1991,26,6,0,ENG,Wigan Athletic  
POR,8,MF,João,Moutinho,8,9,1986,31,113,7,FRA,Monaco   
BEL,15,DF,Thomas,Meunier,12,9,1991,26,27,5,FRA,Paris Saint-Germain  
BRA,2,DF,Thiago,Silva,22,9,1984,33,73,5,FRA,Paris Saint-Germain  
GER,7,MF,Julian,Draxler,20,9,1993,24,46,6,FRA,Paris Saint-Germain  
GER,17,DF,Jérôme,Boateng,3,9,1988,29,73,1,GER,Bayern Munich  
GER,13,FW,Thomas,Müller,13,9,1989,28,93,38,GER,Bayern Munich  
GER,15,DF,Niklas,Süle,3,9,1995,22,11,0,GER,Bayern Munich  
DEN,8,MF,Thomas,Delaney,3,9,1991,26,29,4,GER,Borussia Dortmund  
SUI,4,DF,Nico,Elvedi,30,9,1996,21,6,0,GER,Borussia Mönchengladbach  
CRO,18,FW,Ante,Rebić,21,9,1993,24,18,2,GER,Eintracht Frankfurt  
MEX,3,DF,Carlos,Salcedo,29,9,1993,24,23,0,GER,Eintracht Frankfurt  
SUI,16,MF,Gelson,Fernandes,2,9,1986,31,67,2,GER,Eintracht Frankfurt  
SRB,13,DF,Miloš,Veljković,26,9,1995,22,2,0,GER,Werder Bremen  
EGY,22,MF,Amr,Warda,17,9,1993,24,20,0,GRE,PAOK   
PAN,17,DF,Luis,Ovalle,7,9,1988,29,25,0,HON,Olimpia   
IRN,15,DF,Pejman,Montazeri,6,9,1983,34,46,2,IRN,Esteghlal   
IRN,9,MF,Omid,Ebrahimi,16,9,1987,30,33,0,IRN,Esteghlal   
IRN,1,GK,Alireza,Beiranvand,21,9,1992,25,25,0,IRN,Persepolis   
IRN,2,MF,Mehdi,Torabi,10,9,1994,23,17,4,IRN,Saipa   
BRA,3,DF,Miranda,,7,9,1984,33,49,2,ITA,Internazionale   
BRA,7,FW,Douglas,Costa,14,9,1990,27,26,3,ITA,Juventus   
COL,2,DF,Cristián,Zapata,30,9,1986,31,55,2,ITA,Milan   
SEN,23,GK,Alfred,Gomis,5,9,1993,24,1,0,ITA,SPAL   
ARG,4,DF,Cristian,Ansaldi,20,9,1986,31,5,1,ITA,Torino   
SRB,22,MF,Adem,Ljajić,29,9,1991,26,31,6,ITA,Torino   
KOR,20,DF,Jang,Hyun-soo,28,9,1991,26,53,3,JPN,FC Tokyo  
KOR,1,GK,Kim,Seung-gyu,30,9,1990,27,33,0,JPN,Vissel Kobe  
MEX,12,GK,Alfredo,Talavera,18,9,1982,35,27,0,MEX,Toluca   
PER,16,MF,Wilder,Cartagena,23,9,1994,23,3,0,MEX,Veracruz   
PER,12,GK,Carlos,Cáceda,27,9,1991,26,6,0,MEX,Veracruz   
IRN,16,FW,Reza,Ghoochannejhad,20,9,1987,30,44,16,NED,Heerenveen   
POL,2,DF,Michał,Pazdan,21,9,1987,30,35,0,POL,Legia Warsaw  
PAN,1,GK,Jaime,Penedo,26,9,1981,36,133,0,ROM,Dinamo București  
IRN,5,DF,Milad,Mohammadi,29,9,1993,24,21,0,RUS,Akhmat Grozny  
RUS,2,DF,Mário,Fernandes,19,9,1990,27,8,0,RUS,CSKA Moscow  
TUN,16,GK,Aymen,Mathlouthi,14,9,1984,33,70,0,KSA, Al-Batin  
KSA,6,DF,Mohammed,Al-Breik,15,9,1992,25,14,1,KSA, Al-Hilal  
KSA,12,MF,Mohamed,Kanno,22,9,1994,23,7,1,KSA, Al-Hilal  
KSA,19,MF,Fahad,Al-Muwallad,14,9,1994,23,49,10,KSA, Al-Ittihad  
KSA,5,DF,Omar,Hawsawi,27,9,1985,32,47,3,KSA, Al-Nassr  
KOR,23,GK,Jo,Hyeon-woo,25,9,1991,26,8,0,KOR, Daegu FC 
KOR,14,DF,Hong,Chul,17,9,1990,27,15,0,KOR, Sangju Sangmu 
COL,13,DF,Yerry,Mina,23,9,1994,23,13,4,ESP,Barcelona   
MEX,18,MF,Andrés,Guardado,28,9,1986,31,149,25,ESP,Betis   
CRO,10,MF,Luka,Modrić,9,9,1985,32,108,14,ESP,Real Madrid  
COL,7,FW,Carlos,Bacca,8,9,1986,31,47,14,ESP,Villarreal   
IRN,14,MF,Saman,Ghoddos,6,9,1993,24,11,1,SWE,Östersund   
POR,20,FW,Ricardo,Quaresma,26,9,1983,34,79,10,TUR,Beşiktaş   
NGA,5,DF,William,Troost-Ekong,1,9,1993,24,23,1,TUR,Bursaspor   
JPN,5,DF,Yūto,Nagatomo,12,9,1986,31,107,3,TUR,Galatasaray   
POR,16,MF,Bruno,Fernandes,8,9,1994,23,8,1,UNA,
PER,14,MF,Andy,Polo,29,9,1994,23,17,1,USA,Portland Timbers  
URU,7,MF,Cristian,Rodríguez,30,9,1985,32,107,11,URU,Peñarol   
